leaf_id,is_error,genotype_label
000_ALICANTEBOUSCHET,False,vinifera
000_CABERNETSAUVIGNON,False,vinifera
000_CHARDONNAY,False,vinifera
000_CHASSELASCIOUTAT,False,dissected
000_CHASSELASDORE,False,vinifera
000_FLAMETOKAY,False,vinifera
000_GEWURTZTRAMINER,False,vinifera
000_PINOTNOIR,False,vinifera
000_SYLVANER,False,vinifera
000_SYRAH,False,vinifera
000_VITISACERIFOLIA,False,wild
000_VITISAESTIVALIS,False,wild
000_VITISAMURENSIS,False,wild
000_VITISCINEREA,False,wild
000_VITISCOIGNETIAE,False,wild
000_VITISLABRUSCA,False,wild
000_VITISPALMATA,False,wild
000_VITISPIASEZKII,False,dissected
000_VITISRIPARIA,False,wild
000_VITISRUPESTRIS,False,wild
000_VITISTHUNBERGII,False,wild
000_VITISVULPINA,False,wild
000_WHITERIESLING,False,vinifera
000_ZINFANDEL,False,vinifera
001_leaf4_588147a,False,wild
002_leaf1_wGVIT1627a,False,dissected
003_leaf5_588147a,False,wild
004_leafb_K1164A,False,dissected
005_leafc_K1163A,False,dissected
006_leaf2_483180a,False,wild
007_leaf8_w588055a,False,wild
008_leaf2_wGVIT1626a,False,dissected
009_leaf10_wGVIT1626b,False,dissected
010_leaf2_483186a,False,wild
011_leaf11_597257a,False,dissected
012_leafd_K1163A,True,
013_leaf6_wGVIT1627a,False,dissected
014_leaf3_588538a,False,dissected
015_leaf1_279897a,False,wild
016_leaf9_588174a,False,wild
017_leaf9_wGVIT1627a,False,dissected
018_leaf1_588154a,False,wild
019_leaf2_588154a,False,wild
020_leaf3_588154a,False,wild
021_leaf4_588154a,False,wild
022_leaf1_588174a,False,wild
023_leaf2_588174a,False,wild
024_leaf3_588174a,False,wild
025_leaf4_588174a,False,wild
026_leaf1_313922a,False,wild
027_leaf2_313922a,False,wild
028_leaf3_313922a,False,wild
029_leaf4_313922a,False,wild
030_leaf1_483146a,False,wild
031_leaf2_483146a,False,wild
032_leaf3_483146a,False,wild
033_leaf4_483146a,False,wild
034_leaf1_588393a,False,wild
035_leaf2_588393a,False,wild
036_leaf3_588393a,False,wild
037_leaf4_588393a,False,wild
038_leaf1_588631a,False,wild
039_leaf2_588631a,False,wild
040_leaf3_588631a,False,wild
041_leaf4_588631a,False,wild
042_leaf1_483187a,False,wild
043_leaf2_483187a,False,wild
044_leaf3_483187a,False,wild
045_leaf4_483187a,False,wild
046_leaf1_483138a,False,wild
047_leaf2_483138a,False,wild
048_leaf3_483138a,False,wild
049_leaf4_483138a,False,wild
050_leaf1_w588451a,False,wild
051_leaf2_w588451a,False,wild
052_leaf3_w588451a,False,wild
053_leaf4_w588451a,False,wild
054_leaf1_588233a,False,wild
055_leaf2_588233a,False,wild
056_leaf3_588233a,False,wild
057_leaf4_588233a,False,wild
100_VITISROMANETII,False,wild
101_VITISDOANIANA,False,wild
101_VITISROMANETII,False,wild
102_VITISDOANIANA,False,wild
103_5C,False,rootstock
104_5C,False,rootstock
